AUS, 15
AUT, 280
BEL, 13
BLR, 15
BUL, 6
YUR, 7
UZB, 1
USA, 653
URS, 440
UKR, 11
TCH, 158
SWE, 433
SVK, 5
SUI, 285
SLO, 18
RUS, 263
ROU, 2
PRK, 2
NZL, 1
NOR, 457
NED, 122
LUX, 2
LIE, 9
LAT, 15
KOR, 87
KAZ, 14
JPN, 63
ITA, 192
HUN, 12
GER, 360
GDR, 162
GBR, 79
FRG, 94
FRA, 152
FIN, 434
EUN, 60
POL, 27
EUA, 21
EST, 7
ESP, 2
DEN, 5
CZE, 75 
CAN, 625
CRO, 22
